Constraints;Count;RandomCommittee_min;RandomCommittee_Q1;RandomCommittee_Q2;RandomCommittee_Q3;RandomCommittee_max;SVM_RBF[5.0]_min;SVM_RBF[5.0]_Q1;SVM_RBF[5.0]_Q2;SVM_RBF[5.0]_Q3;SVM_RBF[5.0]_max;REPTree_min;REPTree_Q1;REPTree_Q2;REPTree_Q3;REPTree_max;SVM_Puk[1.0, 0.1]_min;SVM_Puk[1.0, 0.1]_Q1;SVM_Puk[1.0, 0.1]_Q2;SVM_Puk[1.0, 0.1]_Q3;SVM_Puk[1.0, 0.1]_max;SVM_Poly[3,2.0,0.5]_min;SVM_Poly[3,2.0,0.5]_Q1;SVM_Poly[3,2.0,0.5]_Q2;SVM_Poly[3,2.0,0.5]_Q3;SVM_Poly[3,2.0,0.5]_max;LogisticModelTree_min;LogisticModelTree_Q1;LogisticModelTree_Q2;LogisticModelTree_Q3;LogisticModelTree_max;MultilayerPerceptron_min;MultilayerPerceptron_Q1;MultilayerPerceptron_Q2;MultilayerPerceptron_Q3;MultilayerPerceptron_max;J48_min;J48_Q1;J48_Q2;J48_Q3;J48_max;RandomForest_min;RandomForest_Q1;RandomForest_Q2;RandomForest_Q3;RandomForest_max
0;72;0.286;0.789;0.916;0.985;NaN;0.286;0.615;0.664;0.701;NaN;0.267;0.791;0.980;NaN;NaN;0.400;0.633;0.674;0.750;NaN;0.143;0.655;0.936;0.981;NaN;0.286;0.850;0.991;NaN;NaN;0.235;0.806;0.971;0.992;NaN;0.471;0.978;NaN;NaN;NaN;0.500;0.765;0.892;0.991;NaN
1;25;0.588;0.896;0.925;0.988;NaN;0.429;0.637;0.674;0.769;0.824;0.308;0.848;0.949;NaN;NaN;0.500;0.638;0.680;0.734;0.857;0.462;0.849;0.965;0.995;NaN;0.074;0.791;0.941;0.997;NaN;0.333;0.928;0.978;1.000;NaN;0.727;0.914;1.000;NaN;NaN;0.500;0.856;0.953;0.989;1.000
2;32;0.625;0.821;0.886;0.923;0.980;0.571;0.640;0.678;0.704;0.763;0.211;0.522;0.775;0.965;NaN;0.526;0.622;0.659;0.707;0.757;0.571;0.876;0.929;0.983;1.000;0.364;0.656;0.819;1.000;NaN;0.533;0.915;0.957;0.985;1.000;0.696;0.828;0.925;NaN;NaN;0.667;0.771;0.864;0.928;0.975
3;9;0.642;0.718;0.908;0.965;1.000;0.531;0.584;0.690;0.706;0.720;0.535;0.608;0.949;NaN;NaN;0.571;0.586;0.667;0.684;0.720;0.581;0.767;0.917;0.985;0.989;0.593;0.684;0.984;NaN;NaN;0.571;0.725;0.933;0.984;0.993;0.585;0.763;0.985;NaN;NaN;0.694;0.735;0.824;0.958;1.000
8;1;0.942;0.942;0.942;0.942;0.942;0.633;0.633;0.633;0.633;0.633;0.877;0.877;0.877;0.877;0.877;0.667;0.667;0.667;0.667;0.667;0.985;0.985;0.985;0.985;0.985;0.988;0.988;0.988;0.988;0.988;0.988;0.988;0.988;0.988;0.988;0.877;0.877;0.877;0.877;0.877;0.981;0.981;0.981;0.981;0.981
10;2;0.949;0.949;0.971;0.993;0.993;0.616;0.616;0.623;0.631;0.631;0.805;0.805;0.899;0.993;0.993;0.673;0.673;0.731;0.789;0.789;0.967;0.967;0.980;0.993;0.993;1.000;1.000;1.000;1.000;1.000;0.868;0.868;0.902;0.936;0.936;0.894;0.894;0.944;0.993;0.993;0.934;0.934;0.965;0.997;0.997
11;1;0.629;0.629;0.629;0.629;0.629;0.743;0.743;0.743;0.743;0.743;NaN;NaN;NaN;NaN;NaN;0.743;0.743;0.743;0.743;0.743;0.870;0.870;0.870;0.870;0.870;0.588;0.588;0.588;0.588;0.588;0.744;0.744;0.744;0.744;0.744;NaN;NaN;NaN;NaN;NaN;0.769;0.769;0.769;0.769;0.769
12;2;0.514;0.514;0.616;0.718;0.718;0.629;0.629;0.648;0.667;0.667;NaN;NaN;NaN;NaN;NaN;0.703;0.703;0.736;0.769;0.769;0.764;0.764;0.782;0.800;0.800;0.222;0.222;NaN;NaN;NaN;0.611;0.611;0.639;0.667;0.667;NaN;NaN;NaN;NaN;NaN;0.703;0.703;0.780;0.857;0.857

